Host,Dopant,Row,WF,Valence,EF,ed,ep,Mag,QD,Qc,DFT_E
MoS2,Ag,4d,5.009,17,-2.473763,-4.272517289,-1.936431317,2.315,0.309946,-0.397925,-0.22866793
MoS2,Au,5d,4.979,11,-2.432908,-4.962011678,-1.51162543,0.759,-0.19487,-0.383785,-0.20869447
MoS2,Cd,4d,5.26,12,-2.758721,-7.739639211,-1.643586259,1.395,0.36661,-0.333534,-0.04391712
MoS2,Co,3d,4.933,15,-2.438784,-1.975937398,-2.190020806,2.624,0.478566,-0.080056,-0.27653825
MoS2,Cr,3d,5.63,12,-3.122472,0.233,-1.535,0,0.459199,-0.399901,1.3572213
MoS2,Cu,3d,5.102,17,-2.604937,-2.919806674,-1.87656776,2.349,0.401666,-0.334001,-0.47268841
MoS2,Fe,3d,4.803,14,-2.303197,-1.832209091,-2.389490705,1.926,0.440926,-0.276491,0.39841351
MoS2,Hf,5d,5.507,10,-3.002975,1.422,-1.739,0,1.126246,-0.408204,0.28129551
MoS2,Hg,5d,5.259,12,-2.746928,-6.404,-1.578,0,0.216922,-0.486591,-0.13316666
MoS2,Ir,5d,4.556,9,-2.037366,-3.037280125,-2.567568687,0.864,0.424491,-0.358786,-0.37185662
MoS2,Mn,3d,4.632,15,-2.114722,-1.332913169,-2.55108301,1.001,0.327038,-0.285701,0.70452331
MoS2,Nb,4d,5.66,13,-3.118068,1.4815,-1.4445,0,1.056201,-0.465036,0.21835486
MoS2,Ni,3d,5.03,16,-2.533126,-2.26687323,-1.962076425,3.287,0.263145,-0.318794,-0.77269029
MoS2,Os,5d,4.269,14,-1.758344,-2.2625,-2.8215,0,0.418514,-0.338029,0.41807453
MoS2,Pd,4d,5.053,16,-2.519893,-3.252,-1.577,0,-0.528983,-0.529537,-0.3342986
MoS2,Pt,5d,4.669,16,-2.12889,-3.829273917,-2.497552941,1.692,0.119696,-0.286528,-1.21163205
MoS2,Rh,4d,4.675,15,-2.147811,-2.820236505,-2.407663755,0.855,0.212664,-0.335113,-0.43973268
MoS2,Ru,4d,4.416,14,-1.885087,-2.278114114,-2.660794372,1.226,-0.044018,-0.18431,0.26310499
MoS2,Sc,3d,5.632,11,-3.129014,2.809,-1.449,0,0.987971,-0.370099,0.14859914
MoS2,Ta,5d,5.641,11,-3.141701,1.187,-1.526,0,1.056471,-0.458957,0.26244409
MoS2,Tc,4d,4.038,13,-1.503229,-1.9185,-2.9895,0,0.707036,-0.370969,0.7492036
MoS2,Ti,3d,5.506,12,-2.992155,1.817,-1.486,0,0.985148,-0.427642,0.21900995
MoS2,V,3d,4.628,13,-3.120852,1.129,-1.38,0,0.718989,-0.447771,0.17694312
MoS2,W,4d,5.642,14,-3.108178,0.467,-1.652,0,0.886712,-0.379307,2.03328632
MoS2,Y,4d,5.647,11,-3.13572,1.065,-1.458,0,1.252153,-0.568136,0.13324564
MoS2,Zn,3d,5.299,12,-2.808054,-6.328228231,-1.62650214,1.485,0.578603,-0.26372,-0.29965223
MoS2,Zr,4d,5.517,12,-2.970848,1.681,-1.663,0,1.489693,-0.468069,0.25099567
