Host,Dopant,Row,WF,Valence,EF,ed,ep,Mag,QD,Qc,DFT_E
WS2,Ag,4d,4.874,17,-2.379436,-4.213457566,-2.032000428,2.01,0.345582,-0.335883,-0.09755067
WS2,Au,5d,4.752,11,-2.253988,-4.321767913,-2.247762366,0.961,-0.330036,-0.127933,-0.3536011
WS2,Cd,4d,4.333,12,-2.803053,-7.8795,-1.6995,0,0.350038,-0.431453,0.15413083
WS2,Co,3d,4.778,15,-2.312686,-2.007680794,-2.613528467,2.488,0.209738,-0.346333,-0.28426595
WS2,Cr,3d,5.49,12,-3.025233,0.238,-1.689,0,0.108145,-0.214151,1.28939386
WS2,Cu,3d,4.933,17,-2.476928,-2.921645005,-2.034749145,2.127,0.24475,-0.091499,-0.31183777
WS2,Fe,3d,4.528,14,-2.06987,-2.002364543,-2.653476435,1.668,0.503715,-0.286637,0.22054777
WS2,Hf,5d,5.342,10,-2.880889,1.659945884,-1.824488926,0.069,1.128495,-0.428001,0.45867567
WS2,Hg,5d,5.152,12,-2.68124,-6.6115,-1.8705,0,-0.013836,-0.39255,0.10169879
WS2,Ir,5d,4.145,9,-1.665451,-3.247406707,-3.011812177,0.805,0.141972,-0.223696,-0.53996947
WS2,Mn,3d,4.457,15,-1.981247,-1.277873723,-2.65191442,0.988,0.120877,-0.338726,0.79433051
WS2,Mo,4d,5.501,14,-3.003274,0.266,-1.773,0,0.591957,-0.314332,1.96005755
WS2,Nb,4d,5.507,13,-3.006225,1.436,-1.633,0,0.729702,-0.296551,0.39602336
WS2,Ni,3d,4.825,16,-2.369227,-2.42538116,-2.194446536,3.13,0.233844,-0.332192,-0.53316319
WS2,Os,5d,4.066,14,-1.596247,-2.376,-3.0465,0,0.524744,-0.395944,0.4463988
WS2,Pd,4d,4.617,16,-2.130029,-3.359925189,-2.548995695,0.301,0.001539,-0.328923,-0.65916094
WS2,Pt,5d,4.892,16,-2.265663,-3.4205,-2.2845,0,0.466301,-0.275876,-0.06252659
WS2,Rh,4d,4.807,15,-2.178943,-2.521280561,-2.563509619,0.757,0.304339,-0.311621,-0.14652341
WS2,Ru,4d,4.126,14,-1.634917,-2.2425,-3.0295,0,0.251951,-0.333144,0.25492057
WS2,Sc,3d,5.44,11,-2.981104,2.869,-1.541,0,0.977289,-0.21422,0.36073373
WS2,Ta,5d,5.487,11,-3.028823,1.1495,-1.526,0,1.009031,-0.2673,0.44328096
WS2,Tc,4d,3.792,13,-1.298796,-1.9235,-2.9895,0,0.613831,-0.279855,0.71451637
WS2,Ti,3d,5.367,12,-2.895426,1.828752417,-1.486,0.227,0.614087,-0.370317,0.39623573
WS2,V,3d,5.462,13,-2.997739,1.057,-1.38,0,0.238054,-0.184224,0.34717568
WS2,Y,4d,5.458,11,-2.990848,0.615,-1.458,0,1.026955,-0.490756,0.32939248
WS2,Zn,3d,5.31,12,-2.854913,-5.993,-1.625,0,0.086295,-0.313457,-0.10158118
WS2,Zr,4d,5.376,12,-2.871788,1.535704413,-1.663,0.092,1.283376,-0.323445,0.41178413
